HDI_rank,Country,GDI_Value,GDI_Group,HDI_f,HDI_m,life_expectancy_f,life_expectancy_m,Expected_years_of_schooling_f,Expected_years_of_schooling_m,Mean_years_of_schooling_f,Mean_years_of_schooling_m,Estimated_gross_national_income_per_capita_f,Estimated_gross_national_income_per_capita_m,GII_value,GII_rank,maternal_mortality_ratio,adolescent_birth_rate,share_of_seats_parliament,population_above_secondary_education_f,population_above_secondary_education_m,labour_force_participation_rate_f,labour_force_participation_rate_m
149,Nepal,0.925,4,0.552,0.598,72.2,69,12.6,11.8,3.6,6.4,2219,2738,0.48,118,258,60.5,29.6,27.3,43.1,82.7,85.9
150,Pakistan,0.75,5,0.465,0.62,67.7,65.6,7.8,9.3,3.8,6.5,1642,8786,0.541,133,178,36.9,20,27,47.3,24.9,82.7
151,Cameroon,0.866,5,0.513,0.593,59.7,57.5,11.3,13,4.7,7.6,2751,3878,0.569,141,596,105.8,27.1,32.5,39.2,71.2,81.2
152,Solomon Islands,..,..,..,..,72.6,69.5,9.7,10.7,..,..,1450,2281,..,..,114,46.4,2,..,..,62.5,80.3
153,Papua New Guinea,..,..,..,..,68.3,63.3,..,..,3.8,5.3,3002,3789,0.741,159,215,52.7,0,9.5,15,69,70.8
154,Tanzania (United Republic of),0.928,3,0.517,0.557,68.1,64.6,8.6,9.3,5.4,6.2,2282,3037,0.537,130,398,115.1,37.2,11.9,16.9,79.5,87.4
155,Syrian Arab Republic,0.788,5,0.443,0.563,77.4,65.4,8.7,8.8,4.6,5.6,561,4077,0.547,136,68,38.6,13.2,37.1,42.6,11.9,70.2
156,Zimbabwe,0.924,4,0.513,0.555,63.5,59.8,10.2,10.5,7.5,8.9,1431,1948,0.534,128,443,104.1,36.2,55.9,66.3,78.5,89.1
157,Nigeria,0.868,5,0.494,0.569,54.7,53.1,9.2,10.8,5,7.3,4433,6008,..,..,814,107.3,5.8,..,..,50.4,59.8
158,Rwanda,0.941,3,0.508,0.54,69.6,65.3,11.2,11.2,3.7,4.7,1568,2064,0.381,85,290,25.7,55.7,12.6,17,86,86.3
159,Lesotho,1.004,1,0.519,0.516,56.7,52.2,11,10.2,7,5.5,2608,3940,0.544,135,487,89.5,22.7,31.8,24.2,59.3,74.4
159,Mauritania,0.845,5,0.47,0.556,64.9,61.9,8.5,8.6,3.5,5.5,1936,5221,0.617,147,602,79.2,25.2,12.2,24.5,31,67.7
161,Madagascar,0.962,2,0.511,0.531,67.9,64.7,10.5,10.6,6.7,6.1,1173,1544,..,..,353,109.6,19.6,..,..,83.6,89.4
162,Uganda,0.865,5,0.475,0.55,62.4,58,11,12.2,4.7,7.2,1212,2109,0.523,126,343,106.5,34.3,26.7,32.4,66.6,74.9
163,Benin,0.875,5,0.479,0.547,62.7,59.6,11.1,14,3,4.3,1795,2329,0.611,146,405,86.1,7.2,18.2,32.7,68.7,73.1
164,Senegal,0.911,4,0.481,0.528,69.4,65.4,10,9.3,2.4,3.8,1691,3101,0.515,124,315,72.7,41.8,11.1,20.1,45.5,69.9
